# Auto-generated by scripts/build_char_frequency_from_wordlists.py
# Format: <char>\t<weight>  (corpus count + general-rank bonus)
兄	14
凶	14
匡	14
占	14
堕	14
妆	14
季	14
帮	14
御	14
循	14
怎	14
惹	14
批	14
抚	14
挑	14
援	14
斤	14
朴	14
枉	14
樱	14
橘	14
歪	14
泼	14
潜	14
潭	14
炝	14
烘	14
瑞	14
瓣	14
监	14
睹	14
祝	14
竿	14
绕	14
股	14
茹	14
蒂	14
虐	14
襟	14
讲	14
讳	14
诉	14
诲	14
赴	14
趋	14
遮	14
酐	14
醒	14
铃	14
阁	14
饵	14
骇	14
丘	13
亦	13
停	13
傍	13
凭	13
剖	13
剥	13
勘	13
卒	13
卓	13
吴	13
咄	13
嚼	13
圭	13
婆	13
孜	13
宏	13
恍	13
恐	13
悟	13
惟	13
愧	13
慷	13
担	13
拥	13
拼	13
挠	13
擒	13
攘	13
斜	13
既	13
梯	13
棱	13
泊	13
泛	13
泽	13
渐	13
燥	13
猿	13
玄	13
瑚	13
眠	13
碗	13
礁	13
纹	13
羟	13
翁	13
艺	13
衫	13
豌	13
赛	13
辅	13
遂	13
釜	13
鉴	13
钓	13
铺	13
锐	13
闷	13
阑	13
隅	13
项	13
馍	13
